ESTADO,REGIÃO,GÊNERO,GRUPO ETÁRIO,ANO,2010
MARANHÃO,NORDESTE,HOMENS,80-84,2010,19727
MARANHÃO,NORDESTE,HOMENS,85-89,2010,10609
MARANHÃO,NORDESTE,HOMENS,90+,2010,6736
MARANHÃO,NORDESTE,MULHERES,0-4,2010,331759
MARANHÃO,NORDESTE,MULHERES,5-9,2010,343123
MARANHÃO,NORDESTE,MULHERES,10-14,2010,362435
MARANHÃO,NORDESTE,MULHERES,15-19,2010,343849
MARANHÃO,NORDESTE,MULHERES,20-24,2010,334432
MARANHÃO,NORDESTE,MULHERES,25-29,2010,305671
MARANHÃO,NORDESTE,MULHERES,30-34,2010,258191
MARANHÃO,NORDESTE,MULHERES,35-39,2010,208413
MARANHÃO,NORDESTE,MULHERES,40-44,2010,184763
MARANHÃO,NORDESTE,MULHERES,45-49,2010,159912
MARANHÃO,NORDESTE,MULHERES,50-54,2010,135486
MARANHÃO,NORDESTE,MULHERES,55-59,2010,114329
MARANHÃO,NORDESTE,MULHERES,60-64,2010,89491
MARANHÃO,NORDESTE,MULHERES,65-69,2010,70938
MARANHÃO,NORDESTE,MULHERES,70-74,2010,55925
MARANHÃO,NORDESTE,MULHERES,75-79,2010,37251
MARANHÃO,NORDESTE,MULHERES,80-84,2010,22543
MARANHÃO,NORDESTE,MULHERES,85-89,2010,13028
MARANHÃO,NORDESTE,MULHERES,90+,2010,10114
PIAUI,NORDESTE,HOMENS,0-4,2010,134741
PIAUI,NORDESTE,HOMENS,5-9,2010,149597
PIAUI,NORDESTE,HOMENS,10-14,2010,160179
PIAUI,NORDESTE,HOMENS,15-19,2010,15406
PIAUI,NORDESTE,HOMENS,20-24,2010,151038
PIAUI,NORDESTE,HOMENS,25-29,2010,13686
PIAUI,NORDESTE,HOMENS,30-34,2010,121614
PIAUI,NORDESTE,HOMENS,35-39,2010,10129
PIAUI,NORDESTE,HOMENS,40-44,2010,92434
PIAUI,NORDESTE,HOMENS,45-49,2010,81894
PIAUI,NORDESTE,HOMENS,50-54,2010,68631
PIAUI,NORDESTE,HOMENS,55-59,2010,57199
PIAUI,NORDESTE,HOMENS,60-64,2010,47519
PIAUI,NORDESTE,HOMENS,65-69,2010,37112
PIAUI,NORDESTE,HOMENS,70-74,2010,29032
PIAUI,NORDESTE,HOMENS,75-79,2010,19205
PIAUI,NORDESTE,HOMENS,80-84,2010,12668
PIAUI,NORDESTE,HOMENS,85-89,2010,6573
PIAUI,NORDESTE,HOMENS,90+,2010,3419
PIAUI,NORDESTE,MULHERES,0-4,2010,129121
PIAUI,NORDESTE,MULHERES,5-9,2010,144809
PIAUI,NORDESTE,MULHERES,10-14,2010,154046
PIAUI,NORDESTE,MULHERES,15-19,2010,152009
PIAUI,NORDESTE,MULHERES,20-24,2010,154604
PIAUI,NORDESTE,MULHERES,25-29,2010,14234
PIAUI,NORDESTE,MULHERES,30-34,2010,128914
PIAUI,NORDESTE,MULHERES,35-39,2010,108162
PIAUI,NORDESTE,MULHERES,40-44,2010,99971
PIAUI,NORDESTE,MULHERES,45-49,2010,89857
PIAUI,NORDESTE,MULHERES,50-54,2010,77019
PIAUI,NORDESTE,MULHERES,55-59,2010,65763
PIAUI,NORDESTE,MULHERES,60-64,2010,53016
PIAUI,NORDESTE,MULHERES,65-69,2010,41173
PIAUI,NORDESTE,MULHERES,70-74,2010,34282
PIAUI,NORDESTE,MULHERES,75-79,2010,23172
PIAUI,NORDESTE,MULHERES,80-84,2010,15935
PIAUI,NORDESTE,MULHERES,85-89,2010,8387
PIAUI,NORDESTE,MULHERES,90+,2010,4998
CEARÁ,NORDESTE,HOMENS,0-4,2010,34932
CEARÁ,NORDESTE,HOMENS,5-9,2010,372414
CEARÁ,NORDESTE,HOMENS,10-14,2010,437021
CEARÁ,NORDESTE,HOMENS,15-19,2010,431255
CEARÁ,NORDESTE,HOMENS,20-24,2010,412066
CEARÁ,NORDESTE,HOMENS,25-29,2010,369351
CEARÁ,NORDESTE,HOMENS,30-34,2010,324331
CEARÁ,NORDESTE,HOMENS,35-39,2010,281578
CEARÁ,NORDESTE,HOMENS,40-44,2010,26235
CEARÁ,NORDESTE,HOMENS,45-49,2010,23162
CEARÁ,NORDESTE,HOMENS,50-54,2010,176065
CEARÁ,NORDESTE,HOMENS,55-59,2010,145647
CEARÁ,NORDESTE,HOMENS,60-64,2010,125227
CEARÁ,NORDESTE,HOMENS,65-69,2010,95269
CEARÁ,NORDESTE,HOMENS,70-74,2010,76881
CEARÁ,NORDESTE,HOMENS,75-79,2010,4929
CEARÁ,NORDESTE,HOMENS,80-84,2010,35721
CEARÁ,NORDESTE,HOMENS,85-89,2010,19864
CEARÁ,NORDESTE,HOMENS,90+,2010,10002
CEARÁ,NORDESTE,MULHERES,0-4,2010,334635
CEARÁ,NORDESTE,MULHERES,5-9,2010,359188
CEARÁ,NORDESTE,MULHERES,10-14,2010,421816
CEARÁ,NORDESTE,MULHERES,15-19,2010,427108
CEARÁ,NORDESTE,MULHERES,20-24,2010,421968
CEARÁ,NORDESTE,MULHERES,25-29,2010,38365
CEARÁ,NORDESTE,MULHERES,30-34,2010,342564
CEARÁ,NORDESTE,MULHERES,35-39,2010,302694
CEARÁ,NORDESTE,MULHERES,40-44,2010,28616
CEARÁ,NORDESTE,MULHERES,45-49,2010,254141
CEARÁ,NORDESTE,MULHERES,50-54,2010,203244
CEARÁ,NORDESTE,MULHERES,55-59,2010,171728
CEARÁ,NORDESTE,MULHERES,60-64,2010,146338
CEARÁ,NORDESTE,MULHERES,65-69,2010,112605
CEARÁ,NORDESTE,MULHERES,70-74,2010,96325
CEARÁ,NORDESTE,MULHERES,75-79,2010,64256
CEARÁ,NORDESTE,MULHERES,80-84,2010,48299
CEARÁ,NORDESTE,MULHERES,85-89,2010,26538
CEARÁ,NORDESTE,MULHERES,90+,2010,15237
RIO GRANDE DO NORTE,NORDESTE,HOMENS,0-4,2010,131289
RIO GRANDE DO NORTE,NORDESTE,HOMENS,5-9,2010,13777
RIO GRANDE DO NORTE,NORDESTE,HOMENS,10-14,2010,151688
RIO GRANDE DO NORTE,NORDESTE,HOMENS,15-19,2010,151873
RIO GRANDE DO NORTE,NORDESTE,HOMENS,20-24,2010,15712
RIO GRANDE DO NORTE,NORDESTE,HOMENS,25-29,2010,144821
RIO GRANDE DO NORTE,NORDESTE,HOMENS,30-34,2010,125795
RIO GRANDE DO NORTE,NORDESTE,HOMENS,35-39,2010,109931
RIO GRANDE DO NORTE,NORDESTE,HOMENS,40-44,2010,10502
RIO GRANDE DO NORTE,NORDESTE,HOMENS,45-49,2010,9242
RIO GRANDE DO NORTE,NORDESTE,HOMENS,50-54,2010,69628
RIO GRANDE DO NORTE,NORDESTE,HOMENS,55-59,2010,53407
RIO GRANDE DO NORTE,NORDESTE,HOMENS,60-64,2010,47903
RIO GRANDE DO NORTE,NORDESTE,HOMENS,65-69,2010,34641
RIO GRANDE DO NORTE,NORDESTE,HOMENS,70-74,2010,27776
RIO GRANDE DO NORTE,NORDESTE,HOMENS,75-79,2010,17425
